client_id,artisan_id,category,subscription,type,value,date
24,230,Menuiserie,free,accept_offer,1.0,2025-10-11
70,6,Maçonnerie,elite,accept_offer,1.0,2025-12-15
350,106,Plomberie,basic,view_profile,0.2,2025-07-09
362,106,Plomberie,basic,ignore,0.0,2025-09-19
373,281,Climatisation,premium,ignore,0.0,2025-12-27
244,214,Informatique,basic,accept_offer,1.0,2025-12-05
310,65,Menuiserie,free,message_sent,0.6,2026-03-02
221,259,Maçonnerie,basic,ignore,0.0,2026-04-11
27,209,Menuiserie,premium,ignore,0.0,2026-05-26
16,135,Nettoyage,free,reject_offer,-0.3,2026-02-27
202,120,Climatisation,elite,view_profile,0.2,2026-05-26
172,190,Déménagement,free,ignore,0.0,2025-10-15
4,178,Peinture,basic,ignore,0.0,2026-05-22
269,75,Nettoyage,free,reject_offer,-0.3,2026-03-27
215,43,Menuiserie,free,ignore,0.0,2025-11-19
306,231,Déménagement,free,accept_offer,1.0,2025-10-14
398,5,Électricité,free,accept_offer,1.0,2026-05-20
336,165,Plomberie,elite,accept_offer,1.0,2025-07-04
378,243,Peinture,premium,accept_offer,1.0,2026-01-28
256,174,Maçonnerie,premium,accept_offer,1.0,2025-08-25
224,40,Peinture,basic,reject_offer,-0.3,2025-06-19
124,270,Peinture,free,message_sent,0.6,2025-09-05
245,108,Informatique,premium,ignore,0.0,2025-08-10
234,106,Plomberie,basic,view_profile,0.2,2026-06-01
91,90,Électricité,free,ignore,0.0,2025-08-19
247,53,Nettoyage,free,view_profile,0.2,2025-07-13
238,190,Déménagement,free,reject_offer,-0.3,2026-02-10
219,62,Peinture,basic,ignore,0.0,2025-07-29
217,85,Déménagement,premium,view_profile,0.2,2025-11-02
81,279,Serrurerie,premium,accept_offer,1.0,2025-10-30
138,283,Électricité,basic,accept_offer,1.0,2026-03-15
120,17,Nettoyage,free,accept_offer,1.0,2025-07-28
218,297,Déménagement,premium,view_profile,0.2,2026-03-31
92,96,Informatique,basic,view_profile,0.2,2025-09-05
383,212,Informatique,basic,ignore,0.0,2026-03-23
282,8,Jardinage,elite,view_profile,0.2,2025-10-19
95,204,Carrelage,free,message_sent,0.6,2025-07-14
32,217,Menuiserie,premium,accept_offer,1.0,2025-07-11
231,238,Carrelage,basic,ignore,0.0,2025-06-14
111,42,Électricité,basic,accept_offer,1.0,2025-09-12
229,21,Jardinage,basic,ignore,0.0,2026-05-21
6,17,Nettoyage,free,message_sent,0.6,2025-09-14
107,95,Serrurerie,elite,accept_offer,1.0,2026-01-25
94,130,Peinture,premium,ignore,0.0,2025-12-14
296,115,Serrurerie,basic,ignore,0.0,2026-01-16
82,289,Carrelage,premium,message_sent,0.6,2026-01-18
222,124,Nettoyage,basic,ignore,0.0,2025-06-07
277,114,Maçonnerie,free,ignore,0.0,2025-06-21
380,204,Carrelage,free,accept_offer,1.0,2025-11-18
134,32,Carrelage,free,view_profile,0.2,2025-12-01
316,282,Électricité,free,accept_offer,1.0,2026-05-28
310,113,Plomberie,premium,accept_offer,1.0,2025-09-28
66,237,Carrelage,elite,accept_offer,1.0,2026-02-12
93,277,Climatisation,free,ignore,0.0,2025-08-25
294,61,Maçonnerie,free,ignore,0.0,2025-09-26
179,25,Carrelage,premium,accept_offer,1.0,2026-03-20
220,31,Déménagement,free,view_profile,0.2,2026-01-11
368,215,Jardinage,basic,accept_offer,1.0,2026-05-01
170,88,Maçonnerie,basic,accept_offer,1.0,2025-08-29
284,156,Nettoyage,basic,accept_offer,1.0,2025-09-18
302,251,Maçonnerie,basic,message_sent,0.6,2026-04-21
301,192,Électricité,free,view_profile,0.2,2025-06-05
259,280,Informatique,basic,accept_offer,1.0,2025-06-06
215,254,Plomberie,basic,ignore,0.0,2026-01-02
12,87,Climatisation,basic,view_profile,0.2,2025-06-10
341,53,Nettoyage,free,accept_offer,1.0,2025-08-31
305,24,Jardinage,premium,view_profile,0.2,2025-07-14
191,154,Électricité,free,ignore,0.0,2025-10-04
318,17,Nettoyage,free,message_sent,0.6,2026-03-09
294,18,Jardinage,free,reject_offer,-0.3,2025-09-01
81,179,Peinture,free,ignore,0.0,2025-10-09
106,89,Maçonnerie,free,view_profile,0.2,2025-08-29
126,184,Jardinage,basic,view_profile,0.2,2025-08-22
192,170,Électricité,premium,accept_offer,1.0,2025-07-05
59,116,Peinture,free,ignore,0.0,2025-10-28
169,18,Jardinage,free,message_sent,0.6,2025-12-29
298,259,Maçonnerie,basic,reject_offer,-0.3,2026-03-18
146,107,Électricité,free,ignore,0.0,2025-10-08
99,84,Nettoyage,premium,message_sent,0.6,2025-10-09
202,84,Nettoyage,premium,accept_offer,1.0,2025-08-11
4,276,Menuiserie,elite,view_profile,0.2,2026-03-20
383,276,Menuiserie,elite,ignore,0.0,2025-10-01
63,65,Menuiserie,free,ignore,0.0,2025-10-20
386,139,Nettoyage,free,view_profile,0.2,2026-03-28
30,228,Informatique,premium,ignore,0.0,2026-04-07
202,161,Serrurerie,free,ignore,0.0,2026-04-14
308,69,Peinture,basic,ignore,0.0,2025-08-04
74,125,Climatisation,free,ignore,0.0,2025-12-27
102,39,Serrurerie,premium,accept_offer,1.0,2025-11-10
302,191,Informatique,premium,message_sent,0.6,2025-07-08
8,197,Serrurerie,basic,view_profile,0.2,2025-10-20
329,48,Déménagement,free,ignore,0.0,2026-01-20
176,51,Menuiserie,elite,accept_offer,1.0,2025-09-05
203,229,Électricité,free,view_profile,0.2,2025-09-30
52,247,Carrelage,free,accept_offer,1.0,2025-12-27
66,217,Menuiserie,premium,ignore,0.0,2025-10-23
243,164,Jardinage,free,view_profile,0.2,2026-02-20
323,205,Informatique,basic,message_sent,0.6,2025-07-27
73,14,Carrelage,basic,ignore,0.0,2026-01-08
62,230,Menuiserie,free,ignore,0.0,2025-09-30
14,3,Carrelage,basic,reject_offer,-0.3,2025-08-25
338,273,Maçonnerie,free,ignore,0.0,2025-11-13
71,139,Nettoyage,free,view_profile,0.2,2025-08-29
362,55,Nettoyage,free,view_profile,0.2,2026-05-24
118,170,Électricité,premium,accept_offer,1.0,2025-11-14
49,139,Nettoyage,free,message_sent,0.6,2025-08-15
52,298,Déménagement,free,ignore,0.0,2025-11-05
122,26,Jardinage,elite,accept_offer,1.0,2026-01-17
249,237,Carrelage,elite,accept_offer,1.0,2025-10-16
239,65,Menuiserie,free,accept_offer,1.0,2025-10-11
68,79,Déménagement,free,ignore,0.0,2026-02-16
280,121,Plomberie,basic,ignore,0.0,2025-10-13
322,165,Plomberie,elite,accept_offer,1.0,2026-03-08
57,93,Déménagement,free,ignore,0.0,2025-06-08
155,278,Jardinage,basic,reject_offer,-0.3,2025-06-26
221,253,Carrelage,free,ignore,0.0,2026-03-26
102,107,Électricité,free,ignore,0.0,2025-08-31
302,286,Plomberie,basic,accept_offer,1.0,2025-07-23
184,30,Peinture,basic,view_profile,0.2,2026-01-30
367,278,Jardinage,basic,reject_offer,-0.3,2026-01-12
141,30,Peinture,basic,ignore,0.0,2025-11-22
326,258,Serrurerie,free,ignore,0.0,2025-12-05
377,270,Peinture,free,reject_offer,-0.3,2026-03-09
88,165,Plomberie,elite,accept_offer,1.0,2026-06-03
245,70,Nettoyage,free,reject_offer,-0.3,2025-09-01
10,261,Nettoyage,free,message_sent,0.6,2026-02-06
65,300,Déménagement,free,ignore,0.0,2025-12-07
157,111,Informatique,basic,ignore,0.0,2026-04-27
164,192,Électricité,free,view_profile,0.2,2026-03-31
201,87,Climatisation,basic,reject_offer,-0.3,2025-09-01
94,180,Nettoyage,free,view_profile,0.2,2025-07-29
274,94,Déménagement,free,reject_offer,-0.3,2026-05-10
326,208,Nettoyage,basic,view_profile,0.2,2025-11-05
229,89,Maçonnerie,free,reject_offer,-0.3,2025-09-09
302,129,Déménagement,basic,ignore,0.0,2026-05-01
7,47,Informatique,basic,ignore,0.0,2025-08-30
84,126,Menuiserie,premium,ignore,0.0,2025-07-19
148,292,Nettoyage,free,reject_offer,-0.3,2026-04-05
6,7,Serrurerie,free,accept_offer,1.0,2026-05-06
214,202,Menuiserie,premium,view_profile,0.2,2026-05-26
228,21,Jardinage,basic,view_profile,0.2,2025-12-26
1,135,Nettoyage,free,ignore,0.0,2025-11-27
27,298,Déménagement,free,reject_offer,-0.3,2025-09-12
95,35,Jardinage,basic,reject_offer,-0.3,2025-10-28
332,21,Jardinage,basic,view_profile,0.2,2025-10-01
315,39,Serrurerie,premium,view_profile,0.2,2025-07-18
295,113,Plomberie,premium,message_sent,0.6,2025-09-15
276,91,Serrurerie,premium,view_profile,0.2,2025-11-04
238,48,Déménagement,free,view_profile,0.2,2026-04-04
114,196,Peinture,free,ignore,0.0,2026-05-26
24,215,Jardinage,basic,ignore,0.0,2026-03-02
74,237,Carrelage,elite,accept_offer,1.0,2025-06-24
165,205,Informatique,basic,message_sent,0.6,2025-07-31
351,215,Jardinage,basic,ignore,0.0,2025-07-03
243,224,Électricité,free,ignore,0.0,2025-12-22
145,112,Électricité,basic,reject_offer,-0.3,2026-06-05
182,6,Maçonnerie,elite,view_profile,0.2,2025-11-18
117,238,Carrelage,basic,view_profile,0.2,2025-10-21
217,47,Informatique,basic,reject_offer,-0.3,2026-01-08
338,76,Plomberie,free,ignore,0.0,2026-05-15
57,106,Plomberie,basic,ignore,0.0,2025-09-14
211,59,Informatique,basic,view_profile,0.2,2026-04-17
133,145,Climatisation,free,ignore,0.0,2026-01-13
154,71,Menuiserie,free,ignore,0.0,2025-07-25
200,179,Peinture,free,message_sent,0.6,2025-10-30
60,101,Jardinage,basic,accept_offer,1.0,2026-01-28
241,199,Maçonnerie,elite,accept_offer,1.0,2026-02-04
216,17,Nettoyage,free,accept_offer,1.0,2026-05-25
107,129,Déménagement,basic,accept_offer,1.0,2025-09-05
320,24,Jardinage,premium,ignore,0.0,2026-01-10
36,243,Peinture,premium,accept_offer,1.0,2025-11-26
52,262,Déménagement,premium,reject_offer,-0.3,2025-06-15
45,254,Plomberie,basic,accept_offer,1.0,2026-03-21
97,89,Maçonnerie,free,accept_offer,1.0,2025-09-06
22,87,Climatisation,basic,message_sent,0.6,2025-09-25
228,158,Climatisation,basic,message_sent,0.6,2025-10-19
40,255,Serrurerie,free,view_profile,0.2,2025-10-20
177,220,Peinture,free,reject_offer,-0.3,2025-09-13
257,200,Plomberie,basic,accept_offer,1.0,2026-01-20
292,6,Maçonnerie,elite,view_profile,0.2,2025-11-02
396,275,Électricité,free,accept_offer,1.0,2025-09-28
194,71,Menuiserie,free,reject_offer,-0.3,2026-03-22
22,144,Déménagement,premium,reject_offer,-0.3,2025-09-01
102,265,Menuiserie,free,reject_offer,-0.3,2026-06-01
137,33,Nettoyage,elite,accept_offer,1.0,2025-06-06
305,174,Maçonnerie,premium,message_sent,0.6,2025-11-24
321,161,Serrurerie,free,reject_offer,-0.3,2025-10-20
90,47,Informatique,basic,accept_offer,1.0,2025-10-25
121,165,Plomberie,elite,accept_offer,1.0,2026-04-09
9,17,Nettoyage,free,accept_offer,1.0,2025-09-25
245,274,Carrelage,free,view_profile,0.2,2026-05-15
219,26,Jardinage,elite,accept_offer,1.0,2026-05-02
326,211,Carrelage,free,reject_offer,-0.3,2025-11-02
114,234,Menuiserie,free,reject_offer,-0.3,2026-02-27
135,142,Déménagement,premium,message_sent,0.6,2025-07-01
203,193,Serrurerie,basic,view_profile,0.2,2026-01-22
334,180,Nettoyage,free,ignore,0.0,2025-10-14
213,240,Climatisation,basic,view_profile,0.2,2025-12-20
387,120,Climatisation,elite,accept_offer,1.0,2025-07-09
189,153,Climatisation,free,ignore,0.0,2025-07-19
266,191,Informatique,premium,accept_offer,1.0,2026-04-12
293,18,Jardinage,free,ignore,0.0,2025-08-20
232,244,Informatique,free,ignore,0.0,2025-08-29
296,57,Jardinage,free,view_profile,0.2,2026-02-24
158,172,Maçonnerie,premium,view_profile,0.2,2026-01-23
333,288,Jardinage,free,accept_offer,1.0,2025-10-31
121,187,Peinture,basic,accept_offer,1.0,2026-01-10
18,173,Menuiserie,elite,ignore,0.0,2025-09-29
362,127,Nettoyage,free,reject_offer,-0.3,2026-01-08
304,261,Nettoyage,free,message_sent,0.6,2025-06-18
203,248,Carrelage,free,accept_offer,1.0,2026-05-11
109,12,Informatique,premium,ignore,0.0,2026-02-01
359,62,Peinture,basic,reject_offer,-0.3,2025-08-13
94,94,Déménagement,free,reject_offer,-0.3,2026-02-03
295,144,Déménagement,premium,ignore,0.0,2026-04-15
9,263,Menuiserie,free,reject_offer,-0.3,2026-05-02
260,221,Climatisation,basic,accept_offer,1.0,2026-02-17
390,169,Peinture,free,accept_offer,1.0,2025-06-28
199,242,Menuiserie,basic,ignore,0.0,2026-03-25
213,105,Déménagement,premium,message_sent,0.6,2025-08-30
357,264,Menuiserie,basic,accept_offer,1.0,2026-02-17
388,247,Carrelage,free,ignore,0.0,2025-06-17
380,162,Menuiserie,basic,ignore,0.0,2026-04-27
166,12,Informatique,premium,ignore,0.0,2026-04-27
155,293,Plomberie,basic,view_profile,0.2,2025-08-04
356,234,Menuiserie,free,view_profile,0.2,2026-05-02
288,217,Menuiserie,premium,reject_offer,-0.3,2025-07-14
280,206,Nettoyage,basic,accept_offer,1.0,2026-01-17
16,209,Menuiserie,premium,accept_offer,1.0,2025-09-08
32,36,Serrurerie,free,accept_offer,1.0,2025-08-27
296,8,Jardinage,elite,accept_offer,1.0,2026-03-29
298,91,Serrurerie,premium,accept_offer,1.0,2026-02-20
316,42,Électricité,basic,accept_offer,1.0,2026-03-22
275,82,Maçonnerie,premium,accept_offer,1.0,2026-03-19
79,215,Jardinage,basic,reject_offer,-0.3,2025-09-17
396,120,Climatisation,elite,accept_offer,1.0,2026-01-25
378,4,Informatique,premium,accept_offer,1.0,2025-11-09
313,135,Nettoyage,free,view_profile,0.2,2026-04-01
150,81,Jardinage,free,view_profile,0.2,2026-05-27
303,275,Électricité,free,accept_offer,1.0,2026-05-11
121,45,Serrurerie,free,ignore,0.0,2025-10-04
168,155,Serrurerie,free,reject_offer,-0.3,2026-04-28
308,10,Nettoyage,free,view_profile,0.2,2025-12-05
397,290,Menuiserie,free,accept_offer,1.0,2026-01-05
231,14,Carrelage,basic,ignore,0.0,2026-04-07
92,33,Nettoyage,elite,accept_offer,1.0,2026-03-07
225,98,Électricité,free,view_profile,0.2,2025-10-15
311,272,Électricité,free,view_profile,0.2,2025-10-22
119,288,Jardinage,free,ignore,0.0,2025-10-25
338,126,Menuiserie,premium,reject_offer,-0.3,2026-05-28
76,39,Serrurerie,premium,accept_offer,1.0,2026-03-07
58,213,Informatique,basic,accept_offer,1.0,2025-06-07
198,193,Serrurerie,basic,ignore,0.0,2025-10-21
340,114,Maçonnerie,free,reject_offer,-0.3,2025-11-27
331,271,Jardinage,free,ignore,0.0,2025-07-01
53,195,Maçonnerie,free,accept_offer,1.0,2025-10-12
396,298,Déménagement,free,ignore,0.0,2026-05-07
73,262,Déménagement,premium,view_profile,0.2,2025-06-05
103,230,Menuiserie,free,ignore,0.0,2025-08-02
244,28,Peinture,basic,ignore,0.0,2025-08-23
212,153,Climatisation,free,view_profile,0.2,2025-06-29
105,16,Peinture,basic,reject_offer,-0.3,2026-03-08
17,266,Maçonnerie,basic,reject_offer,-0.3,2025-07-08
233,82,Maçonnerie,premium,accept_offer,1.0,2026-03-02
85,213,Informatique,basic,accept_offer,1.0,2026-05-04
395,152,Déménagement,premium,ignore,0.0,2026-03-01
168,16,Peinture,basic,ignore,0.0,2025-06-14
235,76,Plomberie,free,accept_offer,1.0,2026-05-08
297,174,Maçonnerie,premium,ignore,0.0,2025-09-07
329,240,Climatisation,basic,accept_offer,1.0,2025-07-20
39,215,Jardinage,basic,accept_offer,1.0,2026-01-07
304,58,Informatique,basic,accept_offer,1.0,2025-12-19
57,88,Maçonnerie,basic,ignore,0.0,2025-12-29
201,68,Serrurerie,basic,view_profile,0.2,2025-06-21
272,69,Peinture,basic,ignore,0.0,2025-10-05
320,62,Peinture,basic,accept_offer,1.0,2026-04-26
388,90,Électricité,free,ignore,0.0,2026-01-06
100,136,Électricité,free,message_sent,0.6,2025-09-24
167,196,Peinture,free,ignore,0.0,2025-09-07
329,130,Peinture,premium,accept_offer,1.0,2026-02-27
349,249,Maçonnerie,free,ignore,0.0,2025-07-16
92,6,Maçonnerie,elite,reject_offer,-0.3,2025-11-03
339,74,Informatique,basic,accept_offer,1.0,2026-05-07
192,111,Informatique,basic,accept_offer,1.0,2025-06-14
300,47,Informatique,basic,ignore,0.0,2025-08-23
115,235,Maçonnerie,free,accept_offer,1.0,2025-06-09
94,283,Électricité,basic,ignore,0.0,2026-03-23
232,208,Nettoyage,basic,ignore,0.0,2026-05-31
31,128,Serrurerie,elite,accept_offer,1.0,2026-05-03
390,230,Menuiserie,free,view_profile,0.2,2025-11-02
125,193,Serrurerie,basic,accept_offer,1.0,2026-05-24
158,22,Serrurerie,free,accept_offer,1.0,2025-09-26
358,218,Jardinage,free,message_sent,0.6,2025-07-15
359,273,Maçonnerie,free,ignore,0.0,2025-12-10
399,143,Informatique,elite,accept_offer,1.0,2025-10-07
205,140,Nettoyage,free,ignore,0.0,2026-02-21
280,76,Plomberie,free,view_profile,0.2,2026-03-23
232,256,Déménagement,free,message_sent,0.6,2025-12-11
142,205,Informatique,basic,accept_offer,1.0,2025-09-14
66,119,Maçonnerie,premium,accept_offer,1.0,2025-12-17
207,238,Carrelage,basic,reject_offer,-0.3,2026-04-20
271,209,Menuiserie,premium,message_sent,0.6,2025-07-12
67,191,Informatique,premium,accept_offer,1.0,2026-03-22
249,90,Électricité,free,view_profile,0.2,2025-06-30
132,96,Informatique,basic,accept_offer,1.0,2025-12-20
95,85,Déménagement,premium,ignore,0.0,2026-03-20
318,66,Peinture,free,view_profile,0.2,2026-01-04
204,38,Climatisation,premium,ignore,0.0,2026-03-23
299,209,Menuiserie,premium,view_profile,0.2,2025-11-28
194,80,Jardinage,premium,accept_offer,1.0,2026-04-09
376,281,Climatisation,premium,message_sent,0.6,2025-11-16
385,284,Plomberie,free,ignore,0.0,2025-12-26
285,264,Menuiserie,basic,accept_offer,1.0,2026-02-13
231,96,Informatique,basic,accept_offer,1.0,2026-01-13
7,155,Serrurerie,free,view_profile,0.2,2025-10-13
269,89,Maçonnerie,free,view_profile,0.2,2025-10-11
312,127,Nettoyage,free,view_profile,0.2,2025-09-15
309,271,Jardinage,free,ignore,0.0,2026-04-07
44,80,Jardinage,premium,ignore,0.0,2025-12-28
6,16,Peinture,basic,view_profile,0.2,2025-07-09
149,153,Climatisation,free,view_profile,0.2,2026-05-08
358,239,Menuiserie,free,ignore,0.0,2025-08-19
316,35,Jardinage,basic,ignore,0.0,2025-11-08
380,117,Menuiserie,elite,ignore,0.0,2025-10-28
375,289,Carrelage,premium,view_profile,0.2,2025-11-05
61,9,Menuiserie,free,message_sent,0.6,2026-03-26
254,165,Plomberie,elite,view_profile,0.2,2026-04-26
279,241,Informatique,free,view_profile,0.2,2026-04-03
314,277,Climatisation,free,accept_offer,1.0,2025-11-19
344,197,Serrurerie,basic,message_sent,0.6,2026-05-12
358,70,Nettoyage,free,accept_offer,1.0,2025-06-10
169,78,Plomberie,free,view_profile,0.2,2025-09-06
120,173,Menuiserie,elite,ignore,0.0,2025-06-20
292,249,Maçonnerie,free,ignore,0.0,2026-01-10
312,53,Nettoyage,free,accept_offer,1.0,2025-10-16
287,206,Nettoyage,basic,view_profile,0.2,2026-03-23
398,280,Informatique,basic,ignore,0.0,2025-06-22
333,190,Déménagement,free,accept_offer,1.0,2025-08-11
3,44,Plomberie,basic,accept_offer,1.0,2025-12-08
126,2,Carrelage,free,reject_offer,-0.3,2025-12-31
210,52,Climatisation,basic,reject_offer,-0.3,2026-01-11
293,171,Plomberie,free,ignore,0.0,2025-08-22
388,149,Carrelage,free,ignore,0.0,2025-06-08
159,127,Nettoyage,free,ignore,0.0,2025-11-09
252,132,Peinture,free,view_profile,0.2,2025-08-27
163,116,Peinture,free,ignore,0.0,2026-05-07
100,247,Carrelage,free,ignore,0.0,2025-11-13
208,50,Électricité,free,view_profile,0.2,2026-02-14
251,254,Plomberie,basic,view_profile,0.2,2025-08-30
38,255,Serrurerie,free,ignore,0.0,2025-12-01
32,116,Peinture,free,accept_offer,1.0,2026-03-26
391,92,Climatisation,basic,ignore,0.0,2025-08-19
356,171,Plomberie,free,ignore,0.0,2026-03-30
306,37,Jardinage,basic,accept_offer,1.0,2026-02-24
248,100,Menuiserie,free,message_sent,0.6,2025-06-25
98,153,Climatisation,free,ignore,0.0,2025-11-02
159,141,Nettoyage,basic,ignore,0.0,2025-10-29
282,1,Maçonnerie,basic,ignore,0.0,2026-02-12
221,14,Carrelage,basic,accept_offer,1.0,2026-03-05
213,66,Peinture,free,ignore,0.0,2025-11-13
34,3,Carrelage,basic,reject_offer,-0.3,2026-01-31
212,165,Plomberie,elite,view_profile,0.2,2026-04-12
37,242,Menuiserie,basic,ignore,0.0,2026-05-23
286,183,Informatique,free,view_profile,0.2,2026-05-26
123,86,Peinture,free,ignore,0.0,2026-04-04
178,41,Électricité,free,message_sent,0.6,2025-12-18
99,131,Serrurerie,free,view_profile,0.2,2025-07-12
286,182,Menuiserie,basic,reject_offer,-0.3,2025-11-28
178,279,Serrurerie,premium,reject_offer,-0.3,2025-07-23
165,232,Menuiserie,free,message_sent,0.6,2026-04-18
201,188,Nettoyage,basic,message_sent,0.6,2026-05-12
60,204,Carrelage,free,view_profile,0.2,2026-02-11
243,2,Carrelage,free,view_profile,0.2,2025-06-10
301,126,Menuiserie,premium,ignore,0.0,2025-06-11
368,160,Électricité,basic,accept_offer,1.0,2025-11-11
61,277,Climatisation,free,message_sent,0.6,2025-06-14
390,128,Serrurerie,elite,accept_offer,1.0,2026-06-04
280,77,Climatisation,basic,view_profile,0.2,2026-03-08
13,108,Informatique,premium,reject_offer,-0.3,2025-12-23
394,83,Déménagement,free,ignore,0.0,2025-06-25
123,264,Menuiserie,basic,accept_offer,1.0,2026-03-10
284,205,Informatique,basic,ignore,0.0,2025-10-25
322,11,Électricité,free,ignore,0.0,2026-03-05
277,7,Serrurerie,free,view_profile,0.2,2025-11-16
81,174,Maçonnerie,premium,view_profile,0.2,2025-12-17
145,224,Électricité,free,reject_offer,-0.3,2025-09-18
105,122,Menuiserie,elite,accept_offer,1.0,2026-01-04
68,103,Déménagement,basic,view_profile,0.2,2025-09-10
310,240,Climatisation,basic,message_sent,0.6,2025-06-15
258,260,Électricité,premium,reject_offer,-0.3,2026-01-12
250,22,Serrurerie,free,reject_offer,-0.3,2026-04-10
286,248,Carrelage,free,ignore,0.0,2025-06-26
306,87,Climatisation,basic,view_profile,0.2,2026-05-18
367,61,Maçonnerie,free,ignore,0.0,2026-04-15
48,277,Climatisation,free,ignore,0.0,2026-05-25
323,145,Climatisation,free,ignore,0.0,2025-07-15
48,103,Déménagement,basic,reject_offer,-0.3,2025-08-18
200,194,Déménagement,free,view_profile,0.2,2025-11-23
276,142,Déménagement,premium,accept_offer,1.0,2026-03-19
25,176,Carrelage,basic,view_profile,0.2,2025-12-26
124,96,Informatique,basic,reject_offer,-0.3,2025-08-01
305,207,Climatisation,free,view_profile,0.2,2026-01-23
351,82,Maçonnerie,premium,view_profile,0.2,2025-11-12
116,241,Informatique,free,reject_offer,-0.3,2026-02-03
245,140,Nettoyage,free,accept_offer,1.0,2025-10-25
152,246,Climatisation,free,ignore,0.0,2025-07-04
273,71,Menuiserie,free,ignore,0.0,2025-09-13
41,228,Informatique,premium,ignore,0.0,2025-10-31
200,38,Climatisation,premium,reject_offer,-0.3,2026-03-25
174,125,Climatisation,free,reject_offer,-0.3,2026-01-06
249,199,Maçonnerie,elite,ignore,0.0,2025-08-11
209,93,Déménagement,free,message_sent,0.6,2026-05-30
389,296,Carrelage,elite,accept_offer,1.0,2025-06-06
187,119,Maçonnerie,premium,ignore,0.0,2025-08-14
384,197,Serrurerie,basic,view_profile,0.2,2026-03-05
155,9,Menuiserie,free,view_profile,0.2,2026-02-08
285,230,Menuiserie,free,view_profile,0.2,2025-12-20
265,206,Nettoyage,basic,view_profile,0.2,2025-07-01
202,122,Menuiserie,elite,view_profile,0.2,2025-12-24
123,223,Climatisation,free,ignore,0.0,2025-12-11
23,67,Plomberie,free,ignore,0.0,2026-04-29
45,220,Peinture,free,message_sent,0.6,2025-06-09
320,280,Informatique,basic,reject_offer,-0.3,2025-06-10
111,23,Informatique,free,ignore,0.0,2025-08-28
31,122,Menuiserie,elite,accept_offer,1.0,2025-08-17
187,70,Nettoyage,free,view_profile,0.2,2025-10-17
174,81,Jardinage,free,accept_offer,1.0,2026-01-26
388,190,Déménagement,free,accept_offer,1.0,2026-05-27
306,188,Nettoyage,basic,message_sent,0.6,2025-08-01
295,96,Informatique,basic,ignore,0.0,2025-06-26
26,274,Carrelage,free,accept_offer,1.0,2025-08-12
238,179,Peinture,free,ignore,0.0,2026-02-12
152,165,Plomberie,elite,message_sent,0.6,2025-10-22
323,71,Menuiserie,free,view_profile,0.2,2025-10-29
383,286,Plomberie,basic,ignore,0.0,2025-10-27
356,147,Déménagement,basic,ignore,0.0,2025-09-28
264,47,Informatique,basic,view_profile,0.2,2025-06-13
323,288,Jardinage,free,view_profile,0.2,2026-03-12
305,200,Plomberie,basic,accept_offer,1.0,2025-12-01
272,109,Climatisation,elite,message_sent,0.6,2025-10-27
391,170,Électricité,premium,accept_offer,1.0,2025-12-29
81,86,Peinture,free,reject_offer,-0.3,2026-05-22
