category,city,urgency,desc_len,n_photos,budget_min,budget_max,artisan_rating,artisan_score,artisan_exp,distance_km,same_city,accepted_price
Menuiserie,Marrakech,urgent,87,4,210,2860,4.6,0.633,6,382.37,0,391
Nettoyage,Meknès,normal,84,1,70,780,5.0,0.804,6,343.61,0,466
Nettoyage,Rabat,urgent,186,1,70,780,3.4,0.594,15,458.48,0,320
Nettoyage,Rabat,urgent,281,0,70,780,3.4,0.55,4,78.55,0,383
Électricité,Rabat,urgent,78,3,140,1820,4.5,0.913,17,450.02,0,320
Peinture,Oujda,normal,95,4,140,2080,3.7,0.597,4,14.14,1,341
Menuiserie,Oujda,urgent,304,5,210,2860,4.3,0.783,16,347.39,0,2491
Plomberie,Oujda,normal,298,5,105,1170,4.9,0.988,23,352.15,0,184
Serrurerie,Meknès,urgent,213,3,70,910,4.6,0.711,3,335.84,0,149
Déménagement,Meknès,normal,183,1,210,2860,3.2,0.619,4,360.99,0,422
Maçonnerie,Oujda,normal,313,5,280,4550,3.7,0.736,15,658.94,0,920
Menuiserie,Rabat,normal,114,1,210,2860,3.8,0.806,23,101.15,0,761
Jardinage,Marrakech,urgent,290,3,105,1170,4.5,0.892,16,656.01,0,800
Carrelage,Agadir,urgent,204,2,175,2600,3.8,0.761,4,549.29,0,2236
Jardinage,Meknès,normal,316,5,105,1170,4.8,0.935,14,192.69,0,630
Électricité,Oujda,urgent,62,2,140,1820,3.6,0.8,7,664.57,0,716
Carrelage,Marrakech,normal,201,4,175,2600,4.4,0.785,7,665.58,0,1118
Climatisation,Marrakech,normal,181,1,350,4160,3.1,0.68,10,203.93,0,2764
Menuiserie,Oujda,urgent,320,3,210,2860,3.3,0.687,11,534.94,0,670
Électricité,Meknès,normal,126,2,140,1820,3.0,0.745,18,2.24,1,767
Électricité,Fès,urgent,57,0,140,1820,4.2,0.823,12,232.21,0,1346
Peinture,Agadir,urgent,322,2,140,2080,3.9,0.72,9,214.0,0,297
Déménagement,Tanger,très urgent,226,1,210,2860,4.3,0.859,8,212.43,0,2804
Maçonnerie,Agadir,normal,326,4,280,4550,3.6,0.703,2,541.84,0,811
Jardinage,Meknès,normal,285,4,105,1170,3.7,0.89,24,544.97,0,531
Maçonnerie,Agadir,urgent,42,5,280,4550,3.8,0.697,6,395.15,0,2352
Plomberie,Meknès,normal,253,5,105,1170,3.6,0.603,1,209.95,0,411
Maçonnerie,Agadir,normal,116,1,280,4550,4.6,0.876,20,685.31,0,2574
Plomberie,Meknès,normal,111,0,105,1170,3.8,0.862,13,3.16,1,687
Jardinage,Fès,normal,125,1,105,1170,3.7,0.784,15,400.51,0,387
Déménagement,Casablanca,urgent,120,2,210,2860,4.9,0.928,21,193.22,0,445
Carrelage,Fès,normal,34,2,175,2600,4.4,0.948,23,179.4,0,1275
Plomberie,Meknès,normal,97,1,105,1170,4.9,0.76,3,176.4,0,623
Peinture,Oujda,urgent,311,4,140,2080,4.3,0.615,9,452.68,0,1314
Maçonnerie,Casablanca,urgent,260,4,280,4550,3.3,0.737,12,181.96,0,3751
Serrurerie,Marrakech,très urgent,159,3,70,910,3.4,0.631,13,220.78,0,1058
Jardinage,Fès,très urgent,81,2,105,1170,4.2,0.671,7,241.0,0,1023
Serrurerie,Rabat,normal,274,0,70,910,3.4,0.631,13,85.41,0,439
Nettoyage,Tanger,urgent,265,2,70,780,4.4,0.881,14,192.54,0,654
Électricité,Oujda,normal,310,5,140,1820,4.0,0.599,3,871.12,0,876
Informatique,Oujda,normal,130,0,70,1170,3.1,0.536,5,346.23,0,142
Peinture,Casablanca,normal,243,1,140,2080,4.3,0.847,15,5.01,1,201
Menuiserie,Casablanca,normal,269,1,210,2860,4.3,0.718,5,224.66,0,1670
Carrelage,Tanger,normal,315,4,175,2600,5.0,0.867,12,691.0,0,1611
Nettoyage,Fès,normal,172,4,70,780,4.9,0.772,20,15.17,1,322
Peinture,Tanger,très urgent,237,0,140,2080,4.4,0.762,7,218.83,0,916
Maçonnerie,Marrakech,très urgent,80,5,280,4550,3.6,0.686,22,215.27,0,4054
Carrelage,Agadir,normal,63,2,175,2600,3.4,0.836,23,214.68,0,1919
Électricité,Rabat,normal,306,3,140,1820,4.3,0.765,12,448.19,0,305
Jardinage,Fès,urgent,212,5,105,1170,4.3,0.898,25,578.07,0,504
Électricité,Casablanca,normal,30,1,140,1820,3.4,0.631,18,234.62,0,747
Jardinage,Marrakech,urgent,113,5,105,1170,4.0,0.571,1,658.86,0,708
Informatique,Fès,urgent,105,0,70,1170,4.5,0.57,1,577.13,0,200
Carrelage,Tanger,normal,92,5,175,2600,4.9,0.702,15,504.23,0,869
Climatisation,Tanger,urgent,124,0,350,4160,3.3,0.729,9,505.17,0,1006
Carrelage,Fès,normal,283,2,175,2600,3.4,0.647,2,584.64,0,328
Plomberie,Tanger,normal,31,0,105,1170,3.0,0.623,20,18.23,1,490
Informatique,Agadir,normal,200,0,70,1170,3.5,0.781,20,541.2,0,527
Déménagement,Marrakech,normal,165,2,210,2860,4.7,0.693,4,276.48,0,2152
Peinture,Meknès,normal,260,1,140,2080,4.2,0.799,8,185.64,0,760
Nettoyage,Meknès,urgent,186,4,70,780,5.0,0.825,16,194.1,0,671
Nettoyage,Agadir,très urgent,229,4,70,780,5.0,0.804,6,846.1,0,169
Serrurerie,Rabat,normal,80,1,70,910,3.9,0.686,18,274.85,0,399
Peinture,Meknès,urgent,215,0,140,2080,5.0,0.877,23,528.17,0,1666
Électricité,Tanger,normal,126,4,140,1820,3.8,0.647,25,291.57,0,329
Menuiserie,Tanger,normal,275,5,210,2860,3.7,0.702,11,201.17,0,512
Serrurerie,Marrakech,normal,330,5,70,910,4.9,0.82,17,393.78,0,606
Nettoyage,Rabat,normal,312,5,70,780,4.4,0.604,5,474.43,0,502
Carrelage,Marrakech,normal,84,0,175,2600,3.1,0.69,10,341.76,0,1920
Plomberie,Casablanca,urgent,100,4,105,1170,3.9,0.763,8,402.0,0,284
Nettoyage,Rabat,normal,309,2,70,780,3.4,0.594,15,464.43,0,558
Maçonnerie,Rabat,très urgent,83,5,280,4550,4.1,0.702,21,180.96,0,2007
Climatisation,Marrakech,normal,169,4,350,4160,3.1,0.68,10,202.03,0,1474
Peinture,Agadir,normal,245,2,140,2080,4.4,0.762,7,534.8,0,1030
Maçonnerie,Agadir,urgent,327,0,280,4550,4.2,0.648,11,682.94,0,1445
Informatique,Casablanca,normal,141,2,70,1170,2.7,0.521,7,79.04,0,315
Électricité,Casablanca,normal,105,5,140,1820,5.0,0.909,22,211.65,0,1041
Climatisation,Agadir,urgent,135,3,350,4160,3.7,0.697,12,399.24,0,2631
Peinture,Meknès,normal,61,0,140,2080,4.3,0.847,15,180.6,0,1046
Menuiserie,Casablanca,normal,312,4,210,2860,4.3,0.73,6,524.87,0,1777
Nettoyage,Agadir,urgent,188,5,70,780,3.4,0.594,15,867.93,0,372
Peinture,Marrakech,normal,344,4,140,2080,4.3,0.615,9,273.24,0,1217
Plomberie,Fès,urgent,313,3,105,1170,4.3,0.777,22,49.25,0,378
Maçonnerie,Tanger,normal,69,0,280,4550,4.2,0.668,4,216.84,0,579
Jardinage,Meknès,normal,310,3,105,1170,3.7,0.89,24,543.88,0,529
Plomberie,Agadir,normal,173,5,105,1170,3.8,0.862,13,548.75,0,498
Déménagement,Rabat,normal,153,0,210,2860,4.1,0.883,20,7.89,1,1646
Déménagement,Agadir,très urgent,261,4,210,2860,3.8,0.775,18,862.68,0,2806
Peinture,Oujda,urgent,46,0,140,2080,3.6,0.66,1,659.44,0,1534
Peinture,Tanger,très urgent,302,5,140,2080,3.8,0.692,17,380.26,0,2133
Carrelage,Agadir,urgent,40,1,175,2600,4.3,0.818,8,688.28,0,684
Électricité,Fès,urgent,87,4,140,1820,3.6,0.8,7,385.39,0,618
Nettoyage,Rabat,normal,121,0,70,780,4.8,0.664,10,278.24,0,457
Électricité,Fès,urgent,309,0,140,1820,4.1,0.801,9,594.44,0,1645
Informatique,Rabat,très urgent,80,3,70,1170,4.0,0.586,1,134.36,0,272
Informatique,Casablanca,normal,88,4,70,1170,4.2,0.737,10,287.54,0,187
Menuiserie,Oujda,urgent,107,1,210,2860,3.3,0.687,11,537.04,0,548
Carrelage,Tanger,normal,106,3,175,2600,3.4,0.647,2,692.29,0,555
Nettoyage,Marrakech,normal,188,1,70,780,4.4,0.604,5,204.5,0,420
Plomberie,Meknès,urgent,315,3,105,1170,4.9,0.81,4,17.59,1,1063
Nettoyage,Casablanca,très urgent,120,4,70,780,4.5,0.823,23,383.13,0,353
Plomberie,Meknès,normal,211,2,105,1170,4.6,0.699,12,209.38,0,384
Peinture,Agadir,normal,41,1,140,2080,5.0,0.877,23,1.68,1,1225
Menuiserie,Agadir,normal,61,5,210,2860,3.2,0.758,18,478.05,0,1608
Peinture,Marrakech,très urgent,211,1,140,2080,4.5,0.74,9,517.05,0,810
Informatique,Marrakech,normal,337,3,70,1170,4.3,0.853,8,13.61,1,149
Maçonnerie,Marrakech,normal,140,1,280,4550,4.2,0.648,11,495.3,0,2065
Informatique,Rabat,urgent,288,3,70,1170,4.2,0.699,10,108.97,0,597
Menuiserie,Casablanca,normal,284,2,210,2860,3.7,0.702,11,256.12,0,2177
Serrurerie,Marrakech,très urgent,340,4,70,910,4.9,0.676,6,291.45,0,436
Carrelage,Meknès,normal,180,1,175,2600,4.9,0.805,16,350.55,0,1541
Carrelage,Marrakech,normal,53,4,175,2600,3.4,0.647,2,209.72,0,1848
Plomberie,Marrakech,urgent,214,3,105,1170,4.6,0.699,12,218.67,0,344
Serrurerie,Fès,urgent,278,3,70,910,4.2,0.712,3,304.3,0,340
Peinture,Agadir,normal,313,0,140,2080,4.5,0.74,9,694.64,0,811
Jardinage,Casablanca,normal,319,4,105,1170,4.5,0.788,1,94.69,0,336
Informatique,Oujda,normal,336,5,70,1170,4.2,0.873,16,373.18,0,686
Climatisation,Agadir,urgent,263,0,350,4160,3.1,0.68,10,382.53,0,3834
Déménagement,Marrakech,normal,144,2,210,2860,3.5,0.71,20,372.37,0,1446
Serrurerie,Casablanca,normal,90,3,70,910,4.9,0.676,6,78.73,0,278
Climatisation,Marrakech,urgent,317,0,350,4160,2.8,0.714,4,214.21,0,2294
Électricité,Fès,normal,45,4,140,1820,3.0,0.745,18,47.92,0,934
Climatisation,Fès,urgent,225,4,350,4160,3.8,0.687,9,382.15,0,1512
Nettoyage,Oujda,urgent,104,1,70,780,4.8,0.917,23,368.99,0,248
Jardinage,Marrakech,normal,337,3,105,1170,4.3,0.722,8,288.62,0,269
Plomberie,Agadir,normal,194,0,105,1170,4.1,0.766,17,204.68,0,350
Déménagement,Agadir,très urgent,101,5,210,2860,3.4,0.626,1,10.85,1,2907
Carrelage,Casablanca,urgent,350,3,175,2600,4.9,0.702,15,219.21,0,585
Menuiserie,Tanger,normal,235,0,210,2860,3.5,0.631,9,13.54,1,719
Plomberie,Rabat,normal,261,1,105,1170,4.9,0.988,23,123.49,0,697
Jardinage,Fès,normal,244,1,105,1170,4.6,0.776,22,363.25,0,898
Déménagement,Oujda,urgent,306,1,210,2860,3.7,0.609,13,334.93,0,1679
Plomberie,Tanger,très urgent,41,3,105,1170,2.8,0.458,2,209.38,0,475
Jardinage,Casablanca,normal,237,4,105,1170,4.3,0.706,2,404.79,0,152
Nettoyage,Fès,normal,208,2,70,780,4.1,0.763,25,376.51,0,107
Déménagement,Fès,normal,334,0,210,2860,3.5,0.542,7,164.54,0,781
Déménagement,Agadir,très urgent,94,0,210,2860,4.7,0.701,6,471.01,0,1406
Nettoyage,Meknès,urgent,289,2,70,780,4.8,0.917,23,206.83,0,749
Nettoyage,Rabat,normal,309,4,70,780,4.0,0.586,9,289.47,0,146
Menuiserie,Marrakech,normal,130,4,210,2860,3.5,0.631,9,501.36,0,1560
Peinture,Meknès,normal,266,3,140,2080,5.0,0.877,23,546.23,0,507
Déménagement,Meknès,normal,96,2,210,2860,5.0,0.988,19,53.73,0,378
Nettoyage,Tanger,urgent,350,1,70,780,4.9,0.772,20,214.51,0,494
Serrurerie,Meknès,normal,49,0,70,910,3.8,0.766,1,122.52,0,280
Informatique,Tanger,normal,298,3,70,1170,3.9,0.658,1,292.1,0,461
Peinture,Fès,normal,302,5,140,2080,4.3,0.672,9,9.32,1,598
Déménagement,Rabat,normal,197,1,210,2860,4.1,0.883,20,11.86,1,2171
Carrelage,Rabat,normal,316,5,175,2600,5.0,0.867,12,467.06,0,1252
Peinture,Meknès,normal,194,3,140,2080,4.3,0.672,9,43.66,0,215
Peinture,Rabat,urgent,68,0,140,2080,3.8,0.692,17,450.17,0,346
Nettoyage,Tanger,normal,216,1,70,780,4.2,0.753,1,279.79,0,332
Carrelage,Tanger,normal,347,1,175,2600,3.9,0.816,20,193.62,0,737
Jardinage,Tanger,normal,106,5,105,1170,4.0,0.571,1,365.55,0,239
Carrelage,Fès,très urgent,92,5,175,2600,4.9,0.688,8,392.3,0,2865
Menuiserie,Oujda,normal,293,4,210,2860,5.0,0.855,5,379.64,0,2123
Carrelage,Meknès,urgent,328,4,175,2600,4.3,0.818,8,224.44,0,1456
Menuiserie,Fès,normal,173,4,210,2860,3.7,0.702,11,11.48,1,1044
Informatique,Agadir,très urgent,90,0,70,1170,3.8,0.863,22,566.86,0,433
Plomberie,Casablanca,urgent,330,5,105,1170,3.0,0.623,20,289.68,0,845
Informatique,Fès,normal,296,4,70,1170,4.2,0.873,16,201.27,0,833
Menuiserie,Oujda,très urgent,246,3,210,2860,3.4,0.636,10,473.16,0,2157
Peinture,Rabat,urgent,296,1,140,2080,4.3,0.847,15,80.25,0,1719
Déménagement,Casablanca,normal,262,3,210,2860,5.0,0.988,19,247.61,0,509
Plomberie,Fès,urgent,119,0,105,1170,4.2,0.738,22,63.07,0,993
Déménagement,Marrakech,très urgent,248,2,210,2860,3.8,0.775,18,646.84,0,1706
Nettoyage,Fès,urgent,155,4,70,780,3.4,0.628,22,226.9,0,694
Plomberie,Tanger,urgent,285,4,105,1170,4.2,0.738,22,196.16,0,805
Nettoyage,Oujda,urgent,197,1,70,780,4.7,0.79,2,537.65,0,258
Nettoyage,Oujda,urgent,295,4,70,780,4.0,0.732,3,8.25,1,340
Informatique,Tanger,normal,303,3,70,1170,3.8,0.863,22,203.81,0,384
Maçonnerie,Oujda,normal,59,4,280,4550,4.2,0.668,4,346.87,0,2325
Menuiserie,Rabat,très urgent,239,3,210,2860,4.3,0.783,16,111.98,0,2946
Menuiserie,Tanger,urgent,157,1,210,2860,4.3,0.779,15,511.41,0,1577
Maçonnerie,Meknès,normal,121,3,280,4550,4.5,0.808,23,208.15,0,824
Peinture,Fès,urgent,232,5,140,2080,3.8,0.744,6,161.08,0,1611
Menuiserie,Fès,normal,332,1,210,2860,4.6,0.724,2,297.15,0,2019
Plomberie,Rabat,normal,127,3,105,1170,3.8,0.79,9,469.97,0,546
Électricité,Tanger,normal,33,1,140,1820,4.1,0.755,2,296.29,0,320
Plomberie,Tanger,normal,261,2,105,1170,3.8,0.862,13,226.19,0,529
Déménagement,Tanger,normal,156,2,210,2860,3.9,0.891,25,381.96,0,1959
Plomberie,Agadir,normal,183,1,105,1170,4.4,0.767,12,546.86,0,351
Plomberie,Meknès,normal,211,3,105,1170,4.9,0.76,3,186.1,0,658
Maçonnerie,Rabat,très urgent,132,4,280,4550,4.2,0.668,4,131.14,0,3844
Menuiserie,Rabat,normal,100,5,210,2860,4.3,0.779,15,284.17,0,844
Serrurerie,Meknès,urgent,42,0,70,910,3.9,0.806,5,201.89,0,622
Déménagement,Agadir,urgent,63,2,210,2860,4.2,0.727,20,544.57,0,2430
Déménagement,Agadir,normal,232,4,210,2860,4.9,0.928,21,547.83,0,1627
Maçonnerie,Oujda,urgent,225,4,280,4550,4.2,0.668,4,345.28,0,4219
Déménagement,Oujda,normal,257,0,210,2860,3.8,0.775,18,15.36,1,1503
Électricité,Oujda,normal,149,4,140,1820,4.3,0.763,13,299.72,0,1304
Déménagement,Rabat,urgent,73,1,210,2860,3.9,0.891,25,464.8,0,1482
Déménagement,Meknès,normal,230,4,210,2860,4.7,0.693,4,128.23,0,1601
Peinture,Casablanca,normal,75,4,140,2080,4.2,0.767,16,388.47,0,1212
Informatique,Agadir,normal,165,4,70,1170,3.8,0.756,3,470.5,0,419
Électricité,Oujda,normal,102,1,140,1820,4.1,0.755,2,544.24,0,1032
Nettoyage,Fès,très urgent,143,2,70,780,4.7,0.822,6,588.89,0,388
Plomberie,Meknès,normal,299,3,105,1170,4.6,0.688,2,536.0,0,788
Électricité,Agadir,normal,157,2,140,1820,4.2,0.859,10,863.97,0,421
Maçonnerie,Oujda,normal,157,0,280,4550,4.5,0.808,23,380.49,0,786
Serrurerie,Tanger,urgent,170,0,70,910,3.6,0.774,15,505.05,0,606
Informatique,Oujda,normal,294,1,70,1170,3.7,0.769,13,9.61,1,871
Climatisation,Casablanca,urgent,235,3,350,4160,5.0,0.858,24,13.89,1,951
Peinture,Meknès,urgent,157,5,140,2080,4.1,0.841,15,52.39,0,1375
Peinture,Meknès,urgent,197,2,140,2080,4.2,0.767,16,536.72,0,476
Carrelage,Rabat,urgent,61,1,175,2600,3.4,0.836,23,272.49,0,1160
Serrurerie,Oujda,urgent,323,2,70,910,3.9,0.806,5,528.4,0,381
Plomberie,Agadir,urgent,170,5,105,1170,4.9,0.988,23,526.42,0,607
Carrelage,Meknès,urgent,189,2,175,2600,4.3,0.818,8,225.42,0,1704
Plomberie,Oujda,normal,143,1,105,1170,3.0,0.623,20,372.35,0,398
Serrurerie,Tanger,très urgent,34,5,70,910,3.9,0.686,18,495.46,0,276
Menuiserie,Agadir,normal,274,5,210,2860,4.5,0.719,7,588.8,0,1864
Déménagement,Rabat,normal,81,0,210,2860,3.7,0.609,13,132.26,0,1932
Jardinage,Oujda,urgent,118,4,105,1170,4.2,0.671,7,537.56,0,991
Peinture,Oujda,urgent,114,5,140,2080,4.7,0.853,17,390.14,0,477
Peinture,Fès,urgent,287,2,140,2080,4.2,0.767,16,575.33,0,314
Menuiserie,Marrakech,normal,305,4,210,2860,3.2,0.758,18,298.41,0,1571
